Destination,Start date,lat,lon,maxtemp_c,mintemp_c,avgtemp_c,totalprecip_mm,totalsnow_cm,avghumidity,maxwind_kph,avgvis_km,condition_text,condition_icon_url,icon_location
"Thessaloniki, Greece",03/08/2024,40.6436,22.9309,12.5,6.3,9.3,0.45,0.0,75,10.8,10.0,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Vancouver, Canada",03/04/2024,49.25,-123.1333,20.66,14.51,17.61,46.58,4.94,81.99,3.73,7.29,Moderate or heavy snow showers,http://cdn.weatherapi.com/weather/64x64/day/371.png,icons/371.png
"Bogota, Colombia",06/02/2024,4.6,-74.0833,30.46,13.58,24.65,14.67,6.33,28.77,44.09,3.93,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,icons/113.png
"San Jose, Costa Rica",03/04/2024,9.9333,-84.0833,30.85,10.19,12.4,9.62,8.79,57.39,31.13,8.63,Mist,http://cdn.weatherapi.com/weather/64x64/day/143.png,icons/143.png
"Dunedin, New Zealand",03/04/2024,-45.8667,170.5,32.23,12.84,26.59,26.9,3.52,21.23,16.45,4.02,Overcast,http://cdn.weatherapi.com/weather/64x64/day/122.png,icons/122.png
"San Pedro Sula, Honduras",04/03/2024,15.5,-88.0333,31.13,26.92,27.64,39.52,8.16,32.97,23.53,8.33,Freezing fog,http://cdn.weatherapi.com/weather/64x64/day/260.png,icons/260.png
"New York, USA",05/03/2024,40.7142,-74.0064,39.46,23.64,27.38,1.74,7.71,36.84,46.53,7.09,Moderate or heavy snow showers,http://cdn.weatherapi.com/weather/64x64/day/371.png,icons/371.png
"Reykjavik, Iceland",04/28/2024,64.15,-21.95,8.8,3.2,6.1,0.75,0.0,61,9.7,10.0,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Accra, Ghana",05/03/2024,5.55,-0.2167,37.94,20.66,26.24,23.82,3.46,55.81,8.86,9.24,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,icons/296.png
"Kotor, Montenegro",04/03/2024,42.4258,18.7719,39.77,8.49,21.12,16.25,0.14,63.08,13.72,6.9,Light drizzle,http://cdn.weatherapi.com/weather/64x64/day/266.png,icons/266.png
"Dakar, Senegal",02/04/2024,14.6708,-17.4381,23.9,22.5,23.3,0.0,0.0,62,27.7,10.0,Overcast,http://cdn.weatherapi.com/weather/64x64/day/122.png,icons/122.png
"Shanghai, China",01/08/2024,31.005,121.4086,11.0,4.2,7.9,0.0,0.0,62,16.2,10.0,Overcast,http://cdn.weatherapi.com/weather/64x64/day/122.png,icons/122.png
"Stockholm, Sweden",02/03/2024,59.3333,18.05,33.4,1.71,14.67,36.14,2.36,38.23,23.01,7.32,Light drizzle,http://cdn.weatherapi.com/weather/64x64/day/266.png,icons/266.png
"Los Angeles, USA",04/03/2024,34.0522,-118.2428,31.03,25.62,27.57,24.28,1.88,69.43,8.22,9.3,Moderate rain,http://cdn.weatherapi.com/weather/64x64/day/302.png,icons/302.png
"Hanoi, Vietnam",11/19/2024,21.0333,105.85,28.8,22.8,25.3,0.01,0.0,57,13.0,10.0,Cloudy,http://cdn.weatherapi.com/weather/64x64/day/119.png,icons/119.png
"New York, USA",10/28/2024,40.7142,-74.0064,17.8,7.9,12.4,0.0,0.0,45,14.0,10.0,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/day/116.png,icons/116.png
"Innsbruck, Austria",03/04/2024,47.2667,11.4,32.26,22.29,32.02,32.39,7.37,28.37,42.95,5.88,Light drizzle,http://cdn.weatherapi.com/weather/64x64/day/266.png,icons/266.png
"Lisbon, Portugal",10/03/2024,38.7167,-9.1333,23.5,17.3,20.4,0.08,0.0,78,23.8,10.0,Cloudy,http://cdn.weatherapi.com/weather/64x64/day/119.png,icons/119.png
"Freiburg im Breisgau, Germany",09/06/2024,48.0,7.85,22.8,12.6,17.2,0.8,0.0,81,11.2,8.7,Mist,http://cdn.weatherapi.com/weather/64x64/day/143.png,icons/143.png
"Cairns, Australia",08/26/2024,-16.9167,145.7667,25.5,17.9,21.5,0.42,0.0,70,20.5,10.0,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Phnom Penh, Cambodia",04/03/2024,11.55,104.9167,37.47,13.4,27.3,34.31,0.86,61.76,48.64,4.23,Fog,http://cdn.weatherapi.com/weather/64x64/day/248.png,icons/248.png
"Lusaka, Zambia",05/03/2024,-15.4167,28.2833,38.66,25.44,30.71,21.42,7.16,59.22,18.78,9.9,Light drizzle,http://cdn.weatherapi.com/weather/64x64/day/266.png,icons/266.png
"Dakar, Senegal",05/03/2024,14.6708,-17.4381,26.06,16.63,20.36,50.23,5.28,90.97,37.62,9.65,Thundery outbreaks possible,http://cdn.weatherapi.com/weather/64x64/day/200.png,icons/200.png
"Shanghai, China",04/03/2024,31.005,121.4086,30.93,5.43,28.37,29.79,7.88,36.64,21.06,6.75,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,icons/296.png
"Bangkok, Thailand",10/19/2024,13.75,100.5167,31.2,24.8,27.3,25.35,0.0,83,12.2,9.5,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,icons/353.png
"New Plymouth, New Zealand",05/03/2024,-39.0667,174.0833,17.43,1.2,7.58,32.2,3.76,75.13,30.55,4.75,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Guatemala City, Guatemala",05/03/2024,14.6211,-90.5269,25.26,20.51,25.2,32.35,4.51,67.12,4.71,7.65,Moderate or heavy rain with thunder,http://cdn.weatherapi.com/weather/64x64/day/389.png,icons/389.png
"Santiago, Chile",06/02/2024,-33.45,-70.6667,36.28,30.67,34.99,48.24,1.7,20.41,43.56,6.25,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,icons/296.png
"Tripoli, Libya",01/04/2024,32.8925,13.18,17.05,8.85,11.52,13.34,3.62,15.0,4.09,7.45,Thundery outbreaks possible,http://cdn.weatherapi.com/weather/64x64/day/200.png,icons/200.png
"Johannesburg, South Africa",06/02/2024,-26.2,28.0833,29.81,17.99,26.42,24.8,0.79,46.34,4.62,3.85,Moderate or heavy rain shower,http://cdn.weatherapi.com/weather/64x64/day/356.png,icons/356.png
"San Francisco, USA",06/02/2024,37.775,-122.4183,36.7,11.81,26.66,27.75,7.03,89.59,38.69,9.37,Heavy snow,http://cdn.weatherapi.com/weather/64x64/day/338.png,icons/338.png
"Rome, Italy",03/04/2024,41.9,12.4833,34.22,12.34,27.91,25.15,4.27,12.8,38.99,6.5,Cloudy,http://cdn.weatherapi.com/weather/64x64/day/119.png,icons/119.png
"Mexico City, Mexico",05/03/2024,19.4285,-99.1277,34.51,-0.26,14.46,46.21,0.28,69.14,47.22,4.15,Overcast,http://cdn.weatherapi.com/weather/64x64/day/122.png,icons/122.png
"Buenos Aires, Argentina",04/07/2024,-34.5875,-58.6725,22.9,14.8,18.4,0.0,0.0,74,8.6,10.0,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/day/116.png,icons/116.png
"Whangarei, New Zealand",06/02/2024,-35.72,174.33,9.76,8.83,9.48,23.92,8.8,90.0,32.03,7.78,Overcast,http://cdn.weatherapi.com/weather/64x64/day/122.png,icons/122.png
"Istanbul, Turkey",03/04/2024,41.0186,28.9647,25.86,4.19,7.81,16.72,4.8,79.22,21.94,8.57,Cloudy,http://cdn.weatherapi.com/weather/64x64/day/119.png,icons/119.png
"Jakarta, Indonesia",12/07/2024,-6.2146,106.8451,31.8,25.0,28.3,3.56,0.0,69,16.6,9.5,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,icons/353.png
"Madrid, Spain",03/04/2024,40.4,-3.6833,36.06,8.65,20.19,7.03,6.98,60.35,17.1,4.47,Freezing fog,http://cdn.weatherapi.com/weather/64x64/day/260.png,icons/260.png
"San Salvador, El Salvador",01/11/2024,13.7086,-89.2031,31.8,17.9,23.4,0.0,0.0,71,10.8,10.0,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/day/116.png,icons/116.png
"Buenos Aires, Argentina",07/06/2024,-34.5875,-58.6725,10.1,3.3,6.4,0.0,0.0,52,9.4,10.0,Overcast,http://cdn.weatherapi.com/weather/64x64/day/122.png,icons/122.png
"Zagreb, Croatia",04/03/2024,45.8,16.0,39.88,19.78,26.69,2.21,6.17,72.8,49.33,7.23,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,icons/353.png
"Tauranga, New Zealand",06/02/2024,-37.6861,176.1667,21.83,19.97,21.76,37.86,6.23,51.66,50.5,6.26,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Kolkata, India",07/21/2024,22.5697,88.3697,34.4,28.3,30.9,7.32,0.0,72,23.0,7.9,Moderate or heavy rain with thunder,http://cdn.weatherapi.com/weather/64x64/day/389.png,icons/389.png
"York, UK",04/03/2024,53.9562,-1.0947,24.86,12.8,24.16,39.04,5.78,51.11,34.59,4.83,Moderate or heavy rain shower,http://cdn.weatherapi.com/weather/64x64/day/356.png,icons/356.png
"Siena, Italy",06/02/2024,43.3167,11.35,33.66,24.26,29.16,44.38,6.8,54.51,49.61,8.08,Light drizzle,http://cdn.weatherapi.com/weather/64x64/day/266.png,icons/266.png
"Toronto, Canada",06/02/2024,43.6667,-79.4167,26.76,7.16,7.74,8.37,8.71,53.73,20.84,4.56,Heavy snow,http://cdn.weatherapi.com/weather/64x64/day/338.png,icons/338.png
"Tromsø, Norway",03/04/2024,33.4464,-81.1165,35.68,-0.01,1.97,9.23,7.82,87.42,40.59,6.95,Cloudy,http://cdn.weatherapi.com/weather/64x64/day/119.png,icons/119.png
"Lille, France",05/21/2024,50.6333,3.0667,16.3,11.9,13.4,5.48,0.0,94,10.8,5.3,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,icons/296.png
"San Salvador, El Salvador",05/03/2024,13.7086,-89.2031,30.48,20.71,25.84,25.48,6.19,64.12,39.77,5.04,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,icons/296.png
"Shanghai, China",01/10/2024,31.005,121.4086,10.1,4.4,6.8,0.03,0.0,59,20.2,10.0,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Bamako, Mali",03/04/2024,12.65,-8.0,22.23,7.05,14.03,0.28,6.9,93.81,3.49,6.28,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/day/116.png,icons/116.png
"Perth, Australia",05/03/2024,-31.9333,115.8333,30.95,26.06,29.76,12.71,3.55,90.85,31.93,9.27,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,icons/113.png
"Christchurch, New Zealand",06/02/2024,-43.5333,172.6333,33.82,32.49,33.32,14.34,4.17,52.92,3.5,9.77,Fog,http://cdn.weatherapi.com/weather/64x64/day/248.png,icons/248.png
"Accra, Ghana",10/05/2024,5.55,-0.2167,25.8,24.2,24.8,7.79,0.0,88,22.0,10.0,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,icons/353.png
"New Plymouth, New Zealand",02/03/2024,-39.0667,174.0833,24.05,-0.79,22.71,34.6,2.11,32.29,40.25,9.79,Moderate or heavy rain with thunder,http://cdn.weatherapi.com/weather/64x64/day/389.png,icons/389.png
"Cairo, Egypt",03/04/2024,30.05,31.25,-0.15,-0.76,-0.74,9.58,0.56,33.33,14.24,7.18,Moderate or heavy rain shower,http://cdn.weatherapi.com/weather/64x64/day/356.png,icons/356.png
"Rockhampton, Australia",03/04/2024,-23.3833,150.5,32.66,11.18,13.67,0.29,1.23,13.07,50.53,4.6,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/day/116.png,icons/116.png
"Vienna, Austria",06/02/2024,48.2,16.3667,39.46,3.82,33.45,14.48,0.65,58.55,34.5,9.98,Moderate or heavy snow showers,http://cdn.weatherapi.com/weather/64x64/day/371.png,icons/371.png
"Phnom Penh, Cambodia",05/03/2024,11.55,104.9167,23.03,8.72,14.4,38.03,1.52,83.92,18.62,8.2,Fog,http://cdn.weatherapi.com/weather/64x64/day/248.png,icons/248.png
"Dublin, Ireland",01/04/2024,53.3331,-6.2489,38.37,23.2,25.51,1.84,1.65,89.12,14.56,8.84,Light drizzle,http://cdn.weatherapi.com/weather/64x64/day/266.png,icons/266.png
"Rome, Italy",02/03/2024,41.9,12.4833,7.66,4.24,4.49,17.23,0.91,40.87,38.3,7.09,Mist,http://cdn.weatherapi.com/weather/64x64/day/143.png,icons/143.png
"Accra, Ghana",02/03/2024,5.55,-0.2167,33.22,23.86,26.41,29.04,3.58,97.22,35.56,8.19,Patchy light rain with thunder,http://cdn.weatherapi.com/weather/64x64/day/386.png,icons/386.png
"Tallinn, Estonia",05/03/2024,59.4339,24.7281,1.34,0.38,1.08,9.04,8.29,82.61,15.79,6.03,Freezing fog,http://cdn.weatherapi.com/weather/64x64/day/260.png,icons/260.png
"Seoul, South Korea",09/10/2024,37.5664,126.9997,33.3,24.7,28.6,0.0,0.0,59,13.0,10.0,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/day/116.png,icons/116.png
"Harare, Zimbabwe",02/03/2024,-17.8178,31.0447,19.44,4.33,8.84,14.6,5.67,18.92,5.05,3.95,Moderate or heavy rain with thunder,http://cdn.weatherapi.com/weather/64x64/day/389.png,icons/389.png
"Yangon, Myanmar",01/19/2024,16.7833,96.1667,32.8,18.5,25.1,0.0,0.0,34,12.6,10.0,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,icons/113.png
"Salzburg, Austria",05/03/2024,47.8,13.0333,29.0,4.62,12.21,31.11,1.76,87.64,22.7,7.58,Moderate or heavy rain shower,http://cdn.weatherapi.com/weather/64x64/day/356.png,icons/356.png
"Split, Croatia",03/04/2024,43.5139,16.4558,39.58,28.11,33.39,38.09,4.52,27.97,4.43,6.54,Fog,http://cdn.weatherapi.com/weather/64x64/day/248.png,icons/248.png
"Lusaka, Zambia",02/03/2024,-15.4167,28.2833,13.36,-0.45,10.75,51.04,7.11,27.84,40.07,9.95,Moderate rain at times,http://cdn.weatherapi.com/weather/64x64/day/299.png,icons/299.png
"Bergen, Norway",05/03/2024,60.3911,5.3247,27.05,25.15,25.63,41.8,5.92,12.62,5.96,9.07,Cloudy,http://cdn.weatherapi.com/weather/64x64/day/119.png,icons/119.png
"Conakry, Guinea",03/04/2024,9.5092,-13.7122,35.43,10.97,27.97,1.18,9.15,61.61,15.77,8.47,Moderate or heavy rain shower,http://cdn.weatherapi.com/weather/64x64/day/356.png,icons/356.png
"Salzburg, Austria",03/04/2024,47.8,13.0333,32.53,31.56,31.91,9.52,2.22,42.41,11.91,7.64,Fog,http://cdn.weatherapi.com/weather/64x64/day/248.png,icons/248.png
"Bruges, Belgium",11/29/2024,51.2167,3.2333,7.7,2.1,4.2,0.0,0.0,83,18.0,10.0,Overcast,http://cdn.weatherapi.com/weather/64x64/day/122.png,icons/122.png
"Auckland, New Zealand",06/02/2024,-36.8667,174.7667,31.49,17.65,24.4,15.77,7.63,69.48,14.12,5.08,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,icons/353.png
"Manila, Philippines",04/28/2024,14.6042,120.9822,36.5,28.5,31.7,0.94,0.0,62,14.0,9.9,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Ljubljana, Slovenia",10/30/2024,46.0553,14.5144,17.7,10.3,12.9,0.0,0.0,90,5.4,7.3,Fog,http://cdn.weatherapi.com/weather/64x64/day/248.png,icons/248.png
"Zagreb, Croatia",02/03/2024,45.8,16.0,24.68,1.01,14.67,31.4,0.62,12.68,50.93,4.94,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,icons/353.png
"Split, Croatia",08/22/2024,43.5139,16.4558,29.2,23.6,26.2,0.0,0.0,58,15.8,10.0,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,icons/113.png
"Cobh, Ireland",04/03/2024,51.8572,-8.2992,39.93,-2.55,9.86,6.5,0.98,13.2,52.56,5.81,Freezing fog,http://cdn.weatherapi.com/weather/64x64/day/260.png,icons/260.png
"Havana, Cuba",04/03/2024,23.1319,-82.3642,26.43,6.34,14.41,45.79,5.56,36.37,30.78,9.0,Overcast,http://cdn.weatherapi.com/weather/64x64/day/122.png,icons/122.png
"Amsterdam, Netherlands",04/03/2024,52.374,4.8897,18.68,0.14,0.66,41.14,2.25,13.19,46.6,8.65,Moderate rain at times,http://cdn.weatherapi.com/weather/64x64/day/299.png,icons/299.png
"Whangarei, New Zealand",01/04/2024,-35.72,174.33,35.72,14.43,16.64,43.46,8.34,88.62,6.28,7.56,Mist,http://cdn.weatherapi.com/weather/64x64/day/143.png,icons/143.png
"Hallstatt, Austria",02/20/2024,47.55,13.65,0.7,-1.9,-0.2,12.68,9.16,98,9.0,3.9,Moderate or heavy snow showers,http://cdn.weatherapi.com/weather/64x64/day/371.png,icons/371.png
"Innsbruck, Austria",01/04/2024,47.2667,11.4,23.18,22.71,22.87,31.91,2.96,72.66,31.87,4.92,Fog,http://cdn.weatherapi.com/weather/64x64/day/248.png,icons/248.png
"Invercargill, New Zealand",04/03/2024,-46.4,168.35,36.28,15.58,30.73,50.03,8.66,17.02,13.01,6.74,Freezing fog,http://cdn.weatherapi.com/weather/64x64/day/260.png,icons/260.png
"Canberra, Australia",03/04/2024,-35.2833,149.2167,35.04,4.07,32.27,36.44,3.1,80.31,22.0,8.41,Moderate or heavy rain shower,http://cdn.weatherapi.com/weather/64x64/day/356.png,icons/356.png
"Stockholm, Sweden",06/02/2024,59.3333,18.05,36.57,24.4,30.23,8.5,5.07,80.97,37.34,4.24,Moderate rain at times,http://cdn.weatherapi.com/weather/64x64/day/299.png,icons/299.png
"Amsterdam, Netherlands",03/04/2024,52.374,4.8897,0.63,-3.11,-2.62,34.59,4.03,35.64,21.57,7.58,Patchy light drizzle,http://cdn.weatherapi.com/weather/64x64/day/263.png,icons/263.png
"Phuket, Thailand",04/03/2024,7.8833,98.4,17.7,-3.81,8.51,36.85,7.8,46.39,51.79,8.28,Light freezing rain,http://cdn.weatherapi.com/weather/64x64/day/311.png,icons/311.png
"Ho Chi Minh City, Vietnam",03/04/2024,10.75,106.6667,30.01,15.37,23.04,22.09,0.82,37.86,51.78,7.8,Moderate rain at times,http://cdn.weatherapi.com/weather/64x64/day/299.png,icons/299.png
"Split, Croatia",01/22/2024,43.5139,16.4558,8.9,3.6,5.9,0.0,0.0,45,12.6,10.0,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/day/116.png,icons/116.png
"York, UK",03/04/2024,53.9562,-1.0947,15.98,9.48,12.01,41.01,2.05,54.05,11.45,7.46,Fog,http://cdn.weatherapi.com/weather/64x64/day/248.png,icons/248.png
"Shanghai, China",02/03/2024,31.005,121.4086,19.91,13.96,17.09,42.13,1.27,48.24,13.09,3.93,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,icons/353.png
"Hanoi, Vietnam",05/12/2024,21.0333,105.85,32.1,24.8,27.6,34.23,0.0,84,12.2,6.5,Moderate or heavy rain with thunder,http://cdn.weatherapi.com/weather/64x64/day/389.png,icons/389.png
"Verona, Italy",04/22/2024,45.45,11.0,8.3,4.9,6.2,16.53,0.0,82,32.8,6.6,Light rain,http://cdn.weatherapi.com/weather/64x64/day/296.png,icons/296.png
"Ho Chi Minh City, Vietnam",01/04/2024,10.75,106.6667,26.03,7.37,25.4,50.46,6.59,26.62,8.1,4.77,Patchy light drizzle,http://cdn.weatherapi.com/weather/64x64/day/263.png,icons/263.png
"Tegucigalpa, Honduras",01/20/2024,14.1,-87.2167,26.9,15.9,20.5,0.23,0.0,77,19.1,7.3,Fog,http://cdn.weatherapi.com/weather/64x64/day/248.png,icons/248.png
"San Francisco, USA",03/04/2024,37.775,-122.4183,31.59,8.99,21.69,46.8,3.61,61.84,18.26,6.63,Patchy light drizzle,http://cdn.weatherapi.com/weather/64x64/day/263.png,icons/263.png
"Vienna, Austria",03/04/2024,48.2,16.3667,31.16,29.39,30.93,8.74,3.68,20.39,15.47,5.63,Moderate or heavy rain shower,http://cdn.weatherapi.com/weather/64x64/day/356.png,icons/356.png
"Antananarivo, Madagascar",03/30/2024,-18.9167,47.5167,26.7,15.5,19.8,0.92,0.0,80,6.1,7.0,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,icons/353.png
"New York, USA",03/20/2024,40.7142,-74.0064,10.3,3.7,7.1,0.17,0.0,49,29.2,10.0,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Sao Paulo, Brazil",04/03/2024,-23.5333,-46.6167,8.92,1.51,3.36,27.83,2.86,48.02,11.03,8.92,Partly cloudy,http://cdn.weatherapi.com/weather/64x64/day/116.png,icons/116.png
"Cesky Krumlov, Czech Republic",01/06/2024,48.8167,14.3167,4.1,1.4,2.7,6.39,1.78,93,11.2,8.5,Light sleet,http://cdn.weatherapi.com/weather/64x64/day/317.png,icons/317.png
"Nelson, New Zealand",03/04/2024,-41.2833,173.2833,39.71,9.95,23.4,6.08,5.47,58.98,12.6,8.55,Patchy light rain with thunder,http://cdn.weatherapi.com/weather/64x64/day/386.png,icons/386.png
"Havana, Cuba",02/03/2024,23.1319,-82.3642,11.49,-0.79,4.24,50.51,0.37,22.4,33.42,6.65,Moderate rain,http://cdn.weatherapi.com/weather/64x64/day/302.png,icons/302.png
"Hong Kong, China",10/07/2024,22.2833,114.15,29.9,26.2,27.8,0.28,0.0,67,17.3,10.0,Cloudy,http://cdn.weatherapi.com/weather/64x64/day/119.png,icons/119.png
"Barcelona, Spain",06/08/2024,41.3833,2.1833,25.7,20.8,22.9,0.04,0.0,60,31.0,10.0,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Phnom Penh, Cambodia",03/04/2024,11.55,104.9167,36.27,30.8,34.86,3.43,3.45,25.63,25.93,8.11,Moderate or heavy rain with thunder,http://cdn.weatherapi.com/weather/64x64/day/389.png,icons/389.png
"Split, Croatia",06/02/2024,43.5139,16.4558,31.07,20.54,22.23,42.41,2.08,35.38,48.95,5.62,Overcast,http://cdn.weatherapi.com/weather/64x64/day/122.png,icons/122.png
"Jakarta, Indonesia",06/01/2024,-6.2146,106.8451,33.1,27.3,29.4,3.78,0.0,70,11.5,9.5,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,icons/353.png
"Manila, Philippines",05/23/2024,14.6042,120.9822,35.4,27.4,30.9,0.0,0.0,61,21.6,10.0,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,icons/113.png
"Paris, France",08/05/2024,48.8667,2.3333,29.7,16.8,23.2,0.0,0.0,50,8.6,10.0,Sunny,http://cdn.weatherapi.com/weather/64x64/day/113.png,icons/113.png
"Yangon, Myanmar",02/03/2024,16.7833,96.1667,30.94,24.71,26.57,32.51,1.95,51.32,27.99,9.21,Moderate or heavy snow showers,http://cdn.weatherapi.com/weather/64x64/day/371.png,icons/371.png
"Perth, Australia",03/04/2024,-31.9333,115.8333,27.03,3.81,24.69,44.72,2.86,10.1,21.4,6.94,Freezing fog,http://cdn.weatherapi.com/weather/64x64/day/260.png,icons/260.png
"Riga, Latvia",05/03/2024,56.95,24.1,3.9,2.09,3.25,11.4,1.73,12.56,19.56,7.6,Patchy light drizzle,http://cdn.weatherapi.com/weather/64x64/day/263.png,icons/263.png
"Los Angeles, USA",05/03/2024,34.0522,-118.2428,32.69,12.02,26.62,38.45,0.43,80.64,27.7,8.26,Patchy light drizzle,http://cdn.weatherapi.com/weather/64x64/day/263.png,icons/263.png
"Siena, Italy",03/04/2024,43.3167,11.35,20.75,15.95,16.12,7.41,0.16,64.7,16.03,4.35,Cloudy,http://cdn.weatherapi.com/weather/64x64/day/119.png,icons/119.png
"New York, USA",05/25/2024,40.7142,-74.0064,24.5,18.7,21.4,0.03,0.0,53,21.2,10.0,Overcast,http://cdn.weatherapi.com/weather/64x64/day/122.png,icons/122.png
"Lusaka, Zambia",04/03/2024,-15.4167,28.2833,39.9,31.74,33.4,31.08,8.63,21.09,18.48,8.76,Moderate or heavy snow showers,http://cdn.weatherapi.com/weather/64x64/day/371.png,icons/371.png
"Palmerston North, New Zealand",06/02/2024,-40.35,175.6167,31.12,29.47,30.55,21.19,8.49,76.56,51.06,7.91,Mist,http://cdn.weatherapi.com/weather/64x64/day/143.png,icons/143.png
"Milan, Italy",06/30/2024,45.4667,9.2,28.1,19.7,23.7,2.94,0.0,78,12.6,9.3,Patchy rain possible,http://cdn.weatherapi.com/weather/64x64/day/176.png,icons/176.png
"Kathmandu, Nepal",06/30/2024,27.7167,85.3167,25.6,20.1,22.0,36.25,0.0,90,7.9,9.2,Light rain shower,http://cdn.weatherapi.com/weather/64x64/day/353.png,icons/353.png
